moment,agency,social
I watched a good episode of a TV show I like.,yes,no
I completed training so I can process blood on my own.,yes,no
I received a super sweet and out of the blue text message from my boyfriend about how much he appreciates me.,no,yes
I made my own burritos for the whole family and they were a big hit.,yes,no
I was finally invited to work on Amazon Mechanical Turk after 5 months of waiting.,no,no
I am happy that my family is going to be together finally after many long years filled with trials.,no,yes
I ran a mile faster today than I ever have and keeping improving my time to make it quicker.,yes,no
My YouTube channel picked up 6 subscribers in one day.,no,yes
I saw a really beautiful sunset over the valley.,yes,no
It is nice outside and I spent time relaxing on the balcony.,yes,no
Ordered a floor mat online and it was the perfect size for the room I wanted to use it for.,yes,no
"I present the last exam of my career in the university, which I exempt him with a very good grade, and I just would not receive my professional title as Senior Technician in Civil Construction.",yes,yes
I had a very relaxing afternoon with my fiance.,yes,yes
A customer called my boss and complimented my work.,no,yes
I started watching the a show called Riverdale which I enjoyed.,yes,no
When my husband and I decided we are going to move this summer.,yes,yes
When I got promoted at work.,no,no
I left home,yes,no
I went for a two hour walk.,yes,no
Ate a big lobster buffet at a casino.,yes,no
I got to surprise my fiance's friends (he died 2 years ago) at their wedding to see them and all his friends.,yes,yes
"Completing a major project at work, on time an on budget to client's satisfaction.",yes,yes
I felt happy when I woke up from a bad dream and saw I was still with my boyfriend.,no,yes
got a bunch of work completed on my wife's car that i had been putting off for a long time.,yes,no
I repaired my torn up wallet using yellow and blue duct tape matching the colors of one of my favorite NBA teams whose logo is on the wallet.,yes,no
Started a new job today and it went well.,yes,no
Went out on a trip with the family.,yes,yes
I reconnected with a few old friends over beer & board games; it was particularly memorable if only because I hadn't previously seen them in over a year.,yes,yes
Last Friday I purchased a stock and it reached its all time high today.,yes,no
"today i drove to a store i do not usually frequent to get myself breakfast however i noticed this store carries the alergy medication i need that most stores do not, convenient.",yes,yes
I took a picture of a Bald Eagle in a nest.,yes,no
"The Star Wars Last Jedi Trailer, I had been waiting for it for a while",no,no
I completed a chapter of a story that I'm writing after months of being on hiatus.,yes,no
I'd just got the Masters qualification on Mturk.,yes,no
today i talked to my old friend on mobile (video call),yes,yes
Got masters qualification on mturk.,no,no
I got a great deal on a shirt.,yes,no
MY FRIEND MARRIAGE PARTY,no,yes
I WENT TO BANGALORE FOR INDUSTRAIL VISIT,yes,no
I WENT TO BANGALORE FOR INDUSTRAIL VISIT,yes,no
MY FRIEND MARRIAGE PARTY,no,yes
I WENT TO BANGALORE FOR INDUSTRAIL VISIT,yes,no
MY FRIEND MARRIAGE PARTY,no,yes
MY FRIEND MARRIAGE PARTY,no,yes
when my mother buy new laptop for me,no,yes
I watched an episode of a TV show I like.,yes,no
My school is about to have its last day this week and I'm happy for vacation.,no,no
"I am happy to know that in less than a month, I'll be a father",no,no
One event that made me happy was going to buy a birthday gift for my friend.,yes,yes
My toddler took a nap,no,yes
I got together with some guy friends to see a movie.,yes,yes
"Today I received the masters qualification on Mturk, I'm so happy !",no,no
"I was given today off from work, with pay!",yes,no
My cup of coffee this morning was delicious!,yes,no
The sun was shining brightly,no,no
Did highest sales in my office got incentives of $700.,yes,no
I tilled and planted my garden.,yes,no
I went to dinner with family and had a pleasant evening.,yes,yes
An event that made me happy was when I made it to my goal time of midnight without having any extra snacks during the day.,yes,no
My wife let me sleep in today after a grueling night of work.,no,yes
I ate dinner with my friends.,yes,yes
I made some delicious banana bread with my 3 year old helping.,yes,yes
Taking a week long vacation,yes,no
I was happy when I checked my email last night and realized the I received the Masters qualification on Mturk.,no,no
I got the Masters qual on Mturk!,yes,yes
MY MOTHER BOUGHT ME THE WATCH FOR ME.,no,yes
I was happy that my son woke up and was very happy and cooperative as I got him ready for daycare.,no,yes
Roaming with my friends to some Amusment park and had a dinner with them.,yes,yes
The woman I have been wanting to date flirted with me yesterday afternoon.,no,yes
My boyfriend and I spent quality time together taking a walk around the neighborhood.,yes,yes
I got a new job at Waymo working on the self-driving car.,yes,no
I picked up a friends dog to doggy sit for the next week or so.,yes,no
Went with my daughter and her boyfriend to the botanical gardens.,yes,yes
I got to play a basketball game at the park.,yes,yes
I WENT TO TEMPLE,yes,no
I WENT TO TEMPLE,yes,no
I WENT TO COLLEGE.,yes,no
I was happy today in the morning because I managed to walk for 5 kms without any breaks in between.,yes,no
I WENT TO SHOPPING,yes,no
I WENT TO SHOPPING,yes,no
I WENT TO COLLEGE,yes,no
I WENT TO COLLEGE.,yes,no
My daughter playing dress up.,no,yes
Being on vacation from work.,no,no
I WENT TO COLLEGE,yes,no
My daughter received a 100 on her math test,no,yes
I ate ice cream.,yes,no
Going out to dinner with friends.,yes,yes
There were a lot of birds chirping in my yard this morning and it was a nice sound to wake up to.,yes,no
I got to attend the graduation party of a high school student I helped tutor in calculus this year.,yes,yes
I met a girl that I feel like I really connect with.,yes,yes
Getting to spend the night just lounging with my cat after a long weekend.,yes,no
"I started packing for my trip this weekend, and packing made me happy!",yes,no
When I went to Vegas and gambled for the first time.,yes,no
Had a customer come in and make a huge order and I will make quite a bit off of this job.,no,yes
I went for a run last night after a couple weeks of eating poorly and not exercising much and it felt so good to be taking control of my health.,yes,no
I finished watching the latest season of one of my favorite television shows.,yes,no
Yesterday I had won a free fifty dollar walmart card for submitting a survey in the store.,no,no
I went on a long walk with my dog and a friend.,yes,yes
"It was a nice day outside, so I got to walk to work.",yes,no
Spending the weekend camping.,yes,no
I discovered that my sister is getting married,yes,yes
My mother had surgery just the other day and I was so very happy everything went well and she pulled through alright.,yes,yes
I had some good flow the other night when playing my ukulele,yes,no
I just got a paychek from work and that made me really happy.,no,no
I made a bean and bacon soup that was amazing and it was eaten by my picky toddler.,yes,yes
I got my new test system up and running at work.,yes,no
Our dog Abby is used to coming to me in the morning for a treat and she did so again this morning making grumbling sounds and looking at me then the treat box.,no,yes
"On the train this morning, someone told me I had a nice smile.",no,yes
My wife and I finally agreed and decided upon a location to vacation in and a house to rent for the vacation.,no,yes
I went to my daughter's concert last night and she did a good job singing.,yes,yes
My son and I played ball outside and enjoyed the nice weather and bonding time.,yes,yes
I get to work on a volunteer project for a dog rescue I like.,yes,no
I got some extra onion rings with my french fries.,yes,no
My fiance finally cut his hair this morning and I love when he cuts it because it looks so much nicer and makes me happy.,no,yes
My place of work sent out a letter expressing their intent to hire someone for a full-time position that I have been waiting to apply for.,no,no
I got some soda at the store for a great price.,yes,no
I called off work today and I slept in.,yes,no
Today I prepared one tasty food for my children's.,yes,yes
"MY BLISSFUL MOMENTS COULD BE DIFFERENT FROM MINE.PERHAPS WHEN I COME HOME, I GET TO GREET THE PET I HAVE MISSED TERRIBLY THAT DAY.",yes,no
I found out there would be a free catered lunch at work today.,no,no
Getting to go to the grocery store by myself without my kids.,yes,no
When my girlfriend brought me coffee to bed this morning.,no,yes
Watching a funny video that my boyfriend tagged me in on Facebook.,yes,yes
My boss complimented my work ethic after I arrived at work a little bit early!,no,yes
My sister and I were talking and she told me a really funny story about an event that happened to her yesterday and we both laughed for a long time.,yes,yes
A Great sex with my girlfriend makes me feel awesome,yes,yes
My cheerleader daughter was finally able to master her scorpion pose; she has been working on it for WEEKS!,no,yes
My girlfriend bought me a present,no,yes
Bought all the ingredients for a special lunch I want to make.,yes,no
"A couple of friends came to my house to talk, have beers and chicken nuggets.",yes,yes
"I hiked through the Sourland trails in the rain, it was beautiful!",yes,no
Today is my brothers birthday and I will get to celebrate it with him at a restaurant for dinner,yes,yes
An event that made me happy was going out shopping with my daughter for her first formal dress.,yes,yes
I arrived home after a full day of work to see and kiss my fiance.,yes,yes
My younger son does not like to eat but he ate his whole dinner last night.,no,yes
My son came to meet me which made me happy,no,yes
I woke up to a beautiful sunrise today.,no,no
Finding a lost cat.,yes,no
Yesterday my mom and I spent some mom and daughter time together; we went to lunch and Office Depot.,yes,yes
I have celebrated my marriage anniversary yesterday very happily and joyfully,yes,yes
I was very happy when I was able to get a dozen of my favorite cookies at Subway yesterday.,yes,no
Finished watching Unbreakable Kimmy Schmidt: Season 3.,yes,no
I received praised from a client for work I did on a project.,no,yes
Watched a movie with friends,yes,yes
I was happy while I was playing with my child.,yes,yes
My daughter said something that sounded like mama.,no,yes
I grabbed a pizza from a new restaurant and it turned out to be really good.,yes,no
I got to listen to some new music.,yes,no
ate a very delicious lunch my wife made for me yesterday.,yes,yes
Petting and cuddling with one of my cats made me happy last night.,yes,no
"Having an ultrasound in the hospital and seeing my baby move around in my belly, hearing that everything is fine.",yes,yes
My boyfriend's aunt told us a funny story about a client she defended.,no,yes
Going for a date with my girl friend,yes,yes
I went to dinner with my step son and two kids.,yes,yes
I got an email that said that I now have the Master's qualification on MTurk.,no,no
An event that made me happy in the last 24 hrs is hearing my 5 month old daughter laughing.,yes,yes
I received a call from both my mom and my mother in law checking up on us.,no,yes
I woke up and my dog was at my feet.,yes,no
My 13 month old daughter ran up to me last night and gave me a huge hug and kiss just out of the blue.,no,yes
I was happy when I went on a date with my girlfriend last night.,yes,yes
Ate some hershey chocolate after dinner.,yes,no
HOLIDAY VACATION WITH MY  FRIENDS,no,yes
HOLIDAY VACATION WITH MY FRIENDS,yes,yes
HOLIDAY VACATION WITH MY FRIENDS,yes,yes
HOLIDAY VACATION WITH MY FRIENDS,yes,yes
"When I went to see my girlfriend which I have not seen in over a month, we went to see Guardians of The Galaxy 2.",yes,yes
I ate a bowl full of strawberries.,yes,no
My baby son got his first toys and he's laughing much more than usual,no,yes
I watched an amazing though provoking movie.,yes,no
In the past 24 hours I went for a movie which was very good n I met my old school friend in the threaten n had a good time with her,yes,yes
Found a really good deal on pet carriers for my upcoming trip.,yes,no
I found a cute dog toy while online shopping I think is perfect for my friends dog and I look forward to getting it for her.,yes,no
"I finished baking a loaf of pumpkin bread, and the flavor and texture both turned out much better than expected.",yes,no
I become decision maker in my family.,yes,yes
My happy moment was am get a offer letter from a TOP MNC Company after i receive that i feel very happy.,no,no
I was able to take get my boss to approve me being off this Friday so that my wife and I can go to some wineries.,yes,yes
I installed a tv in my kitchen.,yes,no
I was able to get the grass cut before it started raining,yes,no
I got to have indian food for dinner,yes,no
My husband took me out for a date night to celebrate last night.,no,yes
I went to the coffee shop and bought over two kilos of arabica.,yes,no
I played with my son for a long time and he loved it.,yes,yes
"I got a new King sized bed, first time I've ever owned one that large!",yes,no
I received my mom's old Ipad for free.,yes,no
I got a new job that I like.,no,no
I had the day off from work.,yes,no
yesterday i cooked fried fish,yes,no
We stopped by his office before coming home and I got to see one of his co-workers that I consider a friend.,no,yes
My daughter wanted to walk home with me and hold my hand.,no,yes
I talked to my nephew.,yes,yes
My son hit a scored a goal in his soccer game.,no,yes
I was able to get to work super early to get a project done.,yes,no
Watching Phil Defranco's family channel made me happy,yes,no
My daughter wanted so badly to go to school with my son this morning this makes me so excited because the transition to school will be easier for her and I am proud my daughter wants to go to school.,no,yes
I enjoyed the cool morning.,yes,no
I discovered a great place to set up a base camp to climb a couple peaks.,yes,no
Going to my favorite Chinese resturant in downtown Evansville Indiana,yes,no
"My favorite NBA team, the Golden State Warriors, swept the Spurs last night and are now on to the NBA Finals.",no,yes
My new Dodgers hat arrived in the mail.,no,no
I found out my fiance will get a insurance settlement that she's been going to court for.,no,yes
"My son drew me a card, I thought he was really cute and just made my day.",no,yes
We went to a summer festival event and purchased household items.,no,yes
i was with my girlfriend at the cinema.,yes,yes
My favorite band released a new song for the first time  and it was really good.,yes,no
I finally got to watch the season finale of my favorite show.,yes,no
Our air conditioning broke down and the repair man came to fix it finally.,no,yes
An event that made me happy was hearing a song that i had not heard since my high school years.,yes,no
My wife is getting closer to her summer vacation,no,yes
"I discovered the best granola in the world, and am hooked.",yes,no
"I ate a great, huge dinner that was prepared by my significant other.",yes,yes
I performed oral sex on my wife,yes,no
Yesterday after work my boyfriend and I went on a 3 mile hike in the woods and I really enjoyed being out in nature.,yes,yes
I ate an ice cream cone that cooled me off.,yes,no
Played Scrabble with my wife,yes,yes
Going out to dinner with my wife.,yes,yes
I was able to register for fall.classes and tuition was under $1000,yes,no
The first time I had sex omg it was the most amazing and scariest thing at the same time and I am sure all of use can agree with this one.,yes,yes
I had a job interview that went surprisingly well.,yes,yes
My son's percussion ensemble put on a pretty nice performance,no,yes
"My sister called and we had a nice long chat, which we haven't had in a while.",yes,yes
"I exercised at the park, it was fun.",yes,no
"The school I used to teach at contacted one of my colleagues, who really needs the money, to fill the position I left for another job.",no,yes
Watching my daughter receive band awards made me happy in the last twenty four hours.,yes,yes
I ate a piece of chocolate.,yes,no
I was able to try a restaurant I had been meaning to and it was very tasty.,yes,no
I had a great lunch with my daughter and a few of her friends last weekend.,yes,yes
I had a really great dream and it put me in a good mood when I awoke.,yes,no
I VISITED MY MOTHER'S HOUSE,yes,yes
"I heard my child sing ""Twinkle Twinkle Little Star"" to the best of his 1-year-old ability.",no,yes
"My son helped me cook dinner last night, and he enjoyed having an important role!",no,yes
I got my Master's qualification on MTurk!,yes,no
Taking my last final and completing the last commute to and from the city until fall.,yes,no
I decided to play another game of Final Fantasy Tactics.,yes,no
My husband really enjoyed the dinner that I made for him.,no,yes
I have been trying to eat healthier and work out and today I had lost some weight from last week.,yes,no
"I got to go to sleep at a decent hour last night, without any work-related, urgent jobs to keep me up late.",yes,no
This morning I saw a cute dog.,yes,yes
Finally finding shoes for my daughter that fit her.,yes,yes
I was compensated exceptionally well for a short task and the money was deposited to my account in short order.,yes,no
I bought a pinball machine.,yes,no
"I went shopping with my boyfriend, and I was able to buy him some chocolate that he really enjoys.",yes,yes
My first time making the sticky rice dumpling (Zongzi) was very successful and everyone in my family like it.,yes,yes
I went to a pool party,yes,yes
I picked up the new taco bell menu item after work and ate it for dinner.,yes,no
My wife and I went out to dinner without our children last night for a romantic dinner.,yes,yes
An event that made me happy was going on vacation with family and friends to Cancun and swimming at night.,yes,yes
I noticed that the plants I planted on my terrace last weekend aren't dying!,no,no
me and my family planned to drill land for water supply to fulfill farming,yes,yes
I discovered I could do a lot more than I thought I could in the game Pokemon Picross by searching around the screen more than usual.,yes,no
Watching a documentary on prisons.,yes,no
Yesterday my sister and I planned to go to the movies this weekend to see Pirates of the Caribbean 5.,yes,yes
When my son fell sleep last night I picked him up and held him.,yes,yes
My husband and I were able to spend a few hours playing a game together last night.,yes,yes
I cooked pasta with red sauce and it turned out great.,yes,no
I drove to a new job and met new people.,yes,yes
It made me happy to get a new job near my house.,no,no
We won the final match in cricket and Very happy movement for this match.,yes,yes
I got to sleep in and wake up with my wife before my child woke up.,yes,yes
"an event that made me happy was my son's band concert, where I got to see him play the tuba.",no,yes
Took a walk with my dog,yes,no
I called a sales rep for work and she was a sweet old woman and it made me smile.,no,yes
Earning money to pay for my computer parts yesterday,yes,no
She also picked me up from work.,no,yes
"Today morning, my husband promised to take me to see a film, which I was dying to see for sometime.",no,yes
Having grandma make fresh cookies,no,yes
"I found a NPC in a game that I hadn't been able to find for months, and finally beat that part.",yes,no
My boyfriend gave me some money.,no,yes
"I had a great meeting with manager and team, our results were good and we planned some events for the upcoming months.",yes,yes
I was informed yesterday by my employer that we have a new large remodel project coming up that will provide steady work through the summer.,yes,yes
when i had a family time with my parents.,yes,yes
LAST SUMMER HOLIDAY WAS AN UNFORGETTABLE EXPERIENCE IN MY SCHOOL LIFE  WE PLANNED TO GO AND AN EXCURSION TO A HISTORIC PLACE  WE ENJOYED OUR EXCURSION.,yes,yes
Shares i bought rise up to 5 %.,yes,no
MY HUSBAND PRESENTED A GIFT TO ME FOR HIS BIRTHDAY,no,yes
I ate good pizza.,yes,no
My wife recovered from a week long headache,no,yes
In the past 24 hours I went for shopping with my mom n sister n did lots of shopping,yes,yes
I brought new oven to house its black in color its very easy to prepare breakfast,yes,no
I watched a new episode of one of my favorite tv shows.,yes,no
I found out that I there was an entire full season available to stream of a show that I was not caught up on.,no,no
I played the ukulele and practiced some new songs.,yes,no
I drank some soda.,yes,no
My daughter gave me a big hug before going to bed tonight after we sat and rocked in the rocking chair and she pointed out all the animals on her mobile.,yes,yes
My big dog just tried to get on the couch but got tangled up in a blanket instead and it was adorable.,no,no
Playing video games in the evening after not having enough free time to do so last week or over the weekend.,yes,no
I have my first basketball game today.,yes,no
I used a new shampoo and it really makes my hair feel and look better.,yes,no
A package that I've been waiting on for a long time finally arrived in the mail.,no,no
I had a very pleasant and personal conversation with a friend of mine.,yes,yes
Another event that made me happy was when I made it to work and only one person had called in sick.,no,yes
Completed a lot of administrative paperwork.,yes,no
My favorite barista was at the coffee shop this morning and she always brightens my morning.,no,yes
I got to spend some time sitting and talking with my aunt.,yes,yes
When I got home my wife had already made dinner,no,yes
My work colleague gave me the news that I was promoted to a higher rank.,yes,yes
Watching a football match in a TV,yes,yes
I got to eat chocolate from Hershey.,yes,no
I WENT TO SHOPPING,yes,no
I WENT TO TEMPLE,yes,no
I WENT TO TEMPLE,yes,no
I WENT TO TEMPLE,yes,no
Watching a hockey team I don't like get eliminated from the playoffs.,yes,yes
I finished my work,yes,no
I am happy today whole day because its my daughter's birthday.,yes,yes
I watched a good tv show.,yes,no
Another event that made me happy in the past 24 hours was being able to reconnect with an old childhood friend.,yes,yes
A hummingbird flew up to the window and looked at me.,no,no
"I was able to work in the building closer to my house, so my commute home last night was only 15 minutes.",yes,no
I read a play that I found at a garage sale and it was really funny.,yes,no
One thing that has made me happy in the last 24 hours was finding out that my father is recovering well from his stint surgery.,yes,yes
Watching movies with my girlfriend.,yes,yes
I WENT VOCATIONAL TRIP AND ALSO JOIN US FAMILY FRIENDS AND ALSO WENT OOTY TO SEE MANY PLACES AND ENJOY THE BOATING RIDE VERY HAPPILY.,yes,yes
My friend has been working on publishing his first book for many years and it just came available to pre-order online.,no,yes
Yesterday at work was relatively quiet and there were no big problems that arose.,no,no
"Last night I played a computer video game that I hadn't played since college, and it took me on a nostalgic trip.",yes,no
Being able to partake in an office raffle.,yes,yes
I got a gift card to my favorite restaurant for helping my neighbor.,yes,yes
An event that made me happy was attending my sister's 50th birthday celebration.,yes,yes
My dog kissed my face this morning,no,no
My husband brought us dinner home and I didn't have to cook for the family.,no,yes
I had sex with my wife,yes,yes
My friends came back from vacation and I was able to hang out with them last night.,yes,yes
I developed some really good interior design ideas after listening to an inspiring podcast.,yes,yes
Had a record day on mturk earning for 30 dollars in one day,yes,no
I was granted vacation the week of the 4th of July.,no,no
I am getting new glasses.,yes,no
I ate a delicious dinner.,yes,no
PERFORMING YOGA IN THE MORNING,yes,no
A childhood friend came back from North Carolina to visit family,no,yes
Getting to visit with my sister.,yes,yes
"I made plans to spend time with my sister, who I have not seen in a while.",yes,yes
I heard from a friend I haven't in a while.,no,yes
I talked to my dad on the phone.,yes,yes
I was very happy to see my partner come home from work because I was looking forward to telling her about my day.,yes,yes
I soaked up the sunshine in Seattle yesterday.,yes,no
"My car didn't die on me, as it's having issues, that is amazing.",no,no
I was happy when my son asked me to watch a show with him.,no,yes
ate a great steak,yes,no
Heard a new song from my favorite artist.,yes,no
I learned how do to a dessert i always wanted to make and it actually turned out really good!,yes,no
I successfully cooked myself a dinner of chicken enchiladas and spanish rice.,yes,no
"My sick cat who is having trouble putting on weight nibbled on food all night last night, and I have hopes that she might have put on an ounce.",yes,no
I got a promotion at work.,yes,yes
My boyfriend sent me a text message of a really funny picture of a dog wearing a bunch of loose fur like a hat.,no,yes
The golden state warriors won their series.,no,no
My dad finally got a diagnosis and it is not as bad as it could have been.,no,yes
My mom told me thank you for taking her father to the emergency room.,no,yes
Today every one in home ate food and praised the taste of the food.,no,yes
When I left work.,yes,no
I did some yoga and it felt really good since I had been sitting all day and my body was tight and sore.,yes,no
Favorite show was on TV.,no,no
An event that made me happy was going out to dinner with my sister and celebrating her birthday at one of our favorite restaurants.,yes,yes
"I opened a new bag of food for my Dog Rex, and seeing him so excited made me feel happy.",yes,no
"I watched one of my favorite TV shows last night, it was the season finale and I thoroughly enjoyed it.",yes,no
Achieved the office target  and overflowing or the next month.,yes,no
Winning our intramural soccer game,yes,yes
"I reunited with my two beloved dogs, who I hadn't seen in over a month.",yes,no
I have cleared the exam for banking sector,yes,no
I have the day off from work due to a scheduling error.,yes,no
I got a party invitation.,no,no
I masturbated to some porn.,yes,no
"I received a second interview for a job that I want, which makes me happy.",no,no
I signed for classes and am getting tuition covered.,yes,no
Something that made me happy in the last 24 hrs would be waking up to my daughters beautiful smile and sassy personality.,yes,yes
I cooked myself dinner and was worried about the recipe but it turned out to be incredibly delicious and I was proud of myself.,yes,no
I was able to eat pizza,yes,no
My mother in law made a very tasty snack especially for me in the evening.,no,yes
I was happy today that my afternoon meeting was cut short and I was able to leave work early.,no,no
I baked a pizza for myself last night and it was delicious.,yes,no
My daughter told me that I was the best mommy in the world.,yes,yes
"I found nacho cheese bugles in the supermarket, my old favorite snack I hadn't found around in a long time.",yes,no
Walking in the rain with my puppy and enjoying an empty park.,yes,no
I went and bought some new clothes.,yes,no
I went to the gym and had a really good workout.,yes,no
I ate ice cream,yes,no
I went on a nice walk last night with my dogs and my sister.,yes,yes
we won a big contract at work so that means more steady work and more pay.,yes,yes
I finished my first day of coding school and had my first meeting with my mentor.,yes,yes
I came home from work and my wife and my toy poodle Cupcake were already in bed waiting for me to tuck them in!,no,yes
I ran a 5K run in under 30 minutes and was barely out of breath at the end.,yes,no
I found a potential job opportunity that I'm qualified for and that I have a connection who works there.,yes,yes
The part that I ordered to restore my truck came on time and fit perfectly onto the vehicle.,no,no
I was able to take a walk in cooler weather that's not typical for this time of year.,yes,no
Had a nice meal with my mother.,yes,yes
My mom surprised me and picked up sushi for dinner.,no,yes
"Better Call Saul had a great episode that advanced the plot, and it's something I look forward to every week.",yes,no
My internet was fixed and is now faster,no,no
"After a long day of work, I went to a dinner with some friends.",yes,yes
Got a water table for our daughter and watched her play,yes,yes
Buying a new television,yes,no
I ate dinner and got drinks with two of my best friends at a very nice restaurant.,yes,yes
Braves beating Pirates made me happy last night.,no,no
My sister brought home a tasty chocolate whiskey bundt cake for us to eat.,no,yes
My significant other made dinner instead of myself making it.,no,yes
I found an old VCR I used to use and was able to fix it just for fun.,yes,no
I smiled at a pretty girl at the beach and she smiled back.,yes,yes
What made me happy most recently was a conversation that I had with my girlfriend regarding the idea of moving in together.,yes,yes
"I preordered a Blu-ray of a movie I have been very excited to see, and it arrived in the mail today.",yes,no
I made a good observation at work that my boss was pleased with.,yes,yes
Having a nice dinner at my brothers house and seeing my little nephew.,yes,yes
I got my iguana potty trained to use the tub,yes,no
"In the past 24 hours, I was happy going on a walk with my mother.",yes,yes
I played baseball with my friends.,yes,yes
I WENT TO TEMPLE,yes,no
My kids were able to get out of school early for their doctor appointments.,no,yes
Speaking with my sister for the first time in a few months.,yes,yes
eating a delicious lunch with fresh deli  meats,yes,no
I am working on a project at work that interests me greatly.,yes,no
My daughter and I went and got pedicures.,yes,yes
Last night I went to the cinema.,yes,no
My mother gave me ten dollars to get food.,no,yes
I watched my daughter-in-law finish her marathon,yes,yes
I presented my project to the class.,yes,yes
"Finding my dog, he was missing",no,no
I became pregnant with my first baby,yes,yes
I got to see and take care of a lot of patients today,yes,yes
Today I got to take an hour long walk on a beautiful trail.,yes,no
I had dinner with my aunt last Tuesday at an Italian restaurant.,yes,yes
I organized a spring BBQ picnic with friends at a nearby lake.,yes,yes
I got ice cream at the local ice cream stand.,yes,no
I had time to read some of the new books I bought this week.,yes,no
Reaching my daily goal on Mturk made me happy because I had not been able to do so for a while.,yes,no
I woke up to my boyfriend and realized how happy he makes me and then he turned around and kissed me good morning.,yes,yes
I learned a new song.,yes,no
"My boss allowed me to leave work early, while still getting paid for a full day.",yes,yes
"My boss left work early, so I left early, too.",yes,yes
Recently I had put on extra weight but found out that I had lost four pounds at the gym.,yes,no
"I cooked a lovely meal that my gf loved, she praised my cooking skills and made me really happy.",yes,yes
I was happy after having stir fry for dinner last night because I was craving it.,yes,no
"My cat, Tripp, mrrrwd at me, stretching up to me sitting at my desk chair, and asked me to pet him.",yes,yes
Listening to a song I haven't in quite a while.,yes,no
"I found out that we get out of work early on this Friday, leading into our three day weekend",yes,no
"My cord for my external hard drive came, so I can next making it work.",no,no
I booked a trip to see family out of state.,yes,yes
Having a pizza after too long without.,yes,no
"After having my internet connection down all day, I was finally able to get online about an hour ago.",no,no
I finished a difficult day at work.,no,no
I completed my 3rd last day at work.,yes,no
Traffic was good on my way to work so I was able to make up some time and ended up getting in on time instead of running late.,yes,no
Making chicken tender from scratch with my niece.,yes,yes
An event that happened in the past 24 hours was watching my long time girlfriend finally graduate college and get her BA degree from a good school.,yes,yes
I was able to sleep for a long time.,yes,no
My little brother went to the Public Library to apply for summer volunteering which will greatly help him for his college application.,no,yes
An event that made me happy in the past 3 months is learning how to swim.,yes,no
Went to the Scottsdale Contemporary Art Museum and saw and exhibit I liked.,yes,no
I opened a can of Cherry Pepsi and took a nice refreshing drink.,yes,no
When my daughter wanted to run in the rain this morning before I took her to preschool,no,yes
I DID SWIMMING TODAY AFTER LONG LIME,yes,no
MY FAMILY MEMBERS WENT TO A PICNIC.,no,yes
I got a lot done at work this morning.,yes,no
Some of my students won a soccer championship last evening!,no,yes
My mother-in-law went into the hospital voluntarily after two weeks of us begging her to go for dehydration and abdominal pain- what a relief!,no,yes
My spouse made me happy this morning when he woke me up with a kiss and told me he loved me.,no,yes
I decided to purchase a new video game.,yes,no
I went on a nice morning job.,yes,no
I was able to get to go to the store in a timely matter.,yes,no
An old friend messaged me and we talked for hours,yes,yes
I beat a video game that I have been working on.,yes,no
I bought a new pair of shoes.,yes,no
I went to Cancun for the first time.,yes,no
I ate Philly cheese steak with fries and a Dr. Pepper,yes,no
I heard my unborn child's' heartbeat at the midwifery office.,no,no
My six month old son laughed at me.,no,yes
Tonight my husband danced with me in the kitchen while I was waiting for dinner to finish cooking.,no,yes
I played an app design game and received a perfect score from the players (voters).,yes,yes
I got to leave work early to deliver parts.,no,no
I am selected to church choir to sing songs.,no,no
Had a great dinner made and ate it with my family.,yes,yes
The day with my wife,yes,yes
One event that made me happy was when we won our soccer game today.,yes,yes
One of my students got a big scholarship to college.,no,yes
I WANT TO MARRIGE,yes,no
I was very happy when I went to the shopping mall with my husband,yes,yes
Sleeping pleasantly yesterday amidst lighting and thunders.,no,no
We enjoyed our story time at the library this morning.,yes,yes
My son had very happy birthday today,no,yes
I listened to a podcast that was very funny and made me laugh out loud.,yes,yes
Venting on the phone to the rep at Amazon for an order I placed and received the wrong item even though it didn't rectify the mistake,yes,yes
I finalized my trip to Alaska.,yes,no
I ate cookies today.,yes,no
My 1.5 year old son did a new song and dance called Mana Mana from Sesame Street.,no,yes
I enjoyed petting my two cats for about 5 minutes.,yes,yes
I was able to go out to a concert with some friends last night and have a good time.,yes,yes
I went shopping and found some really cute items.,yes,no
I had some good pizza,yes,yes
I fed my dogs leftover steak.,yes,no
I won 5 dollars on a lottery scratch off ticket.,no,no
I went to see my brother who lived out of state.,yes,yes
Buying a crib yesterday for my soon to come baby made me real happy.,yes,yes
I met with a friend and we talked about details for a trip to Seattle this summer.,yes,yes
Buying a new phone holder for my car,yes,no
"My youngest son asked me to dance with him; we did, and had a great time.",yes,yes
I received good health news about a family member.,no,yes
My husband kissed me.,no,yes
I went out drinking with my cousin.,yes,yes
I was able to spend extra time with my husband because his work day ended earlier than usual.,yes,yes
My daughter asked me to put the Ani DiFranco station on Pandora.,yes,yes
I finished a really good book that had a much more satisfying ending than the previous book I'd read.,yes,no
"I visited with my grandfather for some time last night, it had been a while since we got together and it was nice.",yes,yes
My cat snuggled with my while I was feeling sick; he laid on my stomach and took a nap.,no,no
My husband cooked a delicious dinner and brought it to me.,no,yes
I finished a large coding project at work.,yes,no
"Today I went in the morning to the service of the church, and singing to God gives me happiness",yes,no
I went to the gym today.,yes,no
"My wife and I did couponing, which is fun because it saves money.",yes,yes
When I finished a task which was so hard that I had spent many days on it.,yes,no
